日期,最高温度,最低温度,白天天气,夜晚天气,白天风力,夜晚风力
2022-01-01,7,-7,多云,多云,北风 5-6级,北风 5-6级
2022-01-02,0,-7,晴,多云,北风 3-4级,北风 3-4级
2022-01-03,4,-6,多云,晴,西风 4-5级,西风 4-5级
2022-01-04,0,-5,晴,多云,东北风 3-4级,东北风 3-4级
2022-01-05,1,-4,多云,晴,西风 4-5级,西风 4-5级
2022-01-06,0,-5,晴,晴,北风 4-5级,北风 4-5级
2022-01-07,5,-3,晴,晴,西南风 4-5级,西南风 4-5级
2022-01-08,4,-5,晴,晴,西风 4-5级,西风 4-5级
2022-01-09,0,-5,多云,多云,北风 3-4级,北风 3-4级
2022-01-10,-2,-8,阴,晴,北风 4-5级,北风 4-5级
2022-01-11,-5,-9,晴,多云,北风 4-5级,北风 4-5级
2022-01-12,-1,-7,小到中雪,多云,北风 4-5级,北风 4-5级
2022-01-13,-2,-7,晴,晴,北风 4-5级,北风 4-5级
2022-01-14,4,-3,晴,多云,西南风 4-5级,西南风 4-5级
2022-01-15,4,-7,多云,晴,北风 4-5级,北风 4-5级
2022-01-16,-1,-8,晴,晴,北风 3-4级,北风 3-4级
2022-01-17,-1,-8,晴,晴,北风 4-5级,北风 4-5级
2022-01-18,2,-7,多云,小雪,南风 4-5级,南风 4-5级
2022-01-19,-7,-12,多云,晴,北风 5-6级,北风 5-6级
2022-01-20,-5,-11,晴,晴,北风 4-5级,北风 4-5级
2022-01-21,-2,-8,多云,小雪,北风 3-4级,北风 3-4级
2022-01-22,0,-6,小雪,多云,北风 4-5级,北风 4-5级
2022-01-23,-2,-6,晴,晴,北风 4-5级,北风 4-5级
2022-01-24,-2,-6,多云,多云,北风 4-5级,北风 4-5级
2022-01-25,2,-6,多云,晴,西北风 4-5级,西北风 4-5级
2022-01-26,-1,-5,多云,多云,北风 4-5级,北风 4-5级
2022-01-27,-2,-5,晴,多云,北风 3-4级,北风 3-4级
2022-01-28,-2,-6,晴,晴,北风 3-4级,北风 3-4级
2022-01-29,-1,-6,晴,晴,北风 3-4级,北风 3-4级
2022-01-30,3,-3,晴,多云,西北风 4-5级,西北风 4-5级
2022-01-31,3,-6,小雪,多云,北风 4-5级,北风 4-5级
2022-02-01,-3,-6,晴,晴,北风 4-5级,北风 4-5级
2022-02-02,0,-5,晴,晴,西北风 3-4级,西北风 3-4级
2022-02-03,1,-7,晴,晴,北风 3-4级,北风 3-4级
2022-02-04,-4,-9,多云,晴,西北风 4-5级,西北风 4-5级
2022-02-05,0,-6,晴,晴,西北风 4-5级,西北风 4-5级
2022-02-06,0,-3,晴,多云,西北风 4-5级,西北风 4-5级
2022-02-07,3,-3,多云,晴,北风 3-4级,北风 3-4级
2022-02-08,5,-1,晴,晴,西南风 3-4级,西南风 3-4级
2022-02-09,7,1,晴,晴,西南风 3-4级,西南风 3-4级
2022-02-10,8,1,晴,晴,西南风 3-4级,西南风 3-4级
2022-02-11,7,-2,晴,晴,北风 4-5级,北风 4-5级
2022-02-12,2,-4,多云,阴,东北风 4-5级,东北风 4-5级
2022-02-13,2,-6,阴,小到中雪,东北风 4-5级,东北风 4-5级
2022-02-14,-5,-9,阵雪,晴,北风 4-5级,北风 4-5级
2022-02-15,-7,-9,多云,多云,西北风 4-5级,西北风 4-5级
2022-02-16,-6,-9,多云,晴,北风 4-5级,北风 4-5级
2022-02-17,-2,-8,晴,多云,北风 3-4级,北风 3-4级
2022-02-18,2,-6,阴,多云,西南风 4-5级,西南风 4-5级
2022-02-19,-4,-7,晴,晴,西北风 4-5级,西北风 4-5级
2022-02-20,1,-7,晴,晴,西北风 4-5级,西北风 4-5级
2022-02-21,-2,-6,晴,小雪,北风 4-5级,北风 4-5级
2022-02-22,-2,-7,晴,晴,西北风 4-5级,西北风 4-5级
2022-02-23,2,-5,晴,晴,西风 4-5级,西风 4-5级
2022-02-24,7,1,晴,晴,西南风 4-5级,西南风 4-5级
2022-02-25,9,3,晴,雨夹雪,西南风 4-5级,西南风 4-5级
2022-02-26,6,2,多云,晴,北风 4-5级,北风 4-5级
2022-02-27,10,2,晴,晴,西南风 3-4级,西南风 3-4级
2022-02-28,10,0,多云,阴,南风 4-5级,南风 4-5级
2022-03-01,5,1,晴,晴,西北风 3-4级,西北风 3-4级
2022-03-02,9,1,晴,晴,西南风 4-5级,西南风 4-5级
2022-03-03,9,2,晴,晴,东南风 4-5级,东南风 4-5级
2022-03-04,13,1,晴,晴,西北风 5-6级,西北风 5-6级
2022-03-05,4,0,晴,晴,西北风 5-6级,西北风 5-6级
2022-03-06,6,1,多云,阴,南风 4-5级,南风 4-5级
2022-03-07,10,2,多云,晴,西南风 4-5级,西南风 4-5级
2022-03-08,10,2,晴,晴,南风 3-4级,南风 3-4级
2022-03-09,9,1,多云,多云,东南风 4-5级,东南风 4-5级
2022-03-10,14,4,晴,多云,南风 4-5级,南风 4-5级
2022-03-11,10,5,多云,多云,东北风 4-5级,东北风 4-5级
2022-03-12,9,5,小到中雨,多云,南风 4-5级,南风 4-5级
2022-03-13,9,5,多云,小到中雨,东北风 4-5级,东北风 4-5级
2022-03-14,8,2,阴,多云,西北风 3-4级,西北风 3-4级
2022-03-15,13,3,多云,多云,南风 4-5级,南风 4-5级
2022-03-16,7,0,多云,多云,东北风 4-5级,东北风 4-5级
2022-03-17,5,-1,多云,多云,北风 5-6级,北风 5-6级
